"Number batches", "Number concurrent flow invocations", "Total number flow invocations", "Number successful flow invocations + executions", "% successful flow invocations + executions", "Number successful flow invocations failed executions", "% successful flow invocations failed executions", "Average flow roundtrip time (ms)"
10, 1, 10, 10, 100, 0, 0, 5370.1
10, 2, 20, 20, 100, 0, 0, 3528.7
10, 3, 30, 30, 100, 0, 0, 3731.733333333333
10, 4, 40, 40, 100, 0, 0, 3879.575
10, 5, 50, 50, 100, 0, 0, 4657.8
10, 6, 60, 58, 96.66666666666667, 2, 3.3333333333333335, 4608.766666666666
10, 7, 70, 69, 98.57142857142857, 1, 1.4285714285714286, 4915.671428571429
10, 8, 80, 59, 73.75, 21, 26.25, 4594.05
10, 9, 90, 64, 71.11111111111111, 25, 27.77777777777778, 4818.477777777778
10, 10, 100, 70, 70, 27, 27, 5088.17
10, 11, 110, 50, 45.45454545454545, 42, 38.18181818181818, 3863.109090909091
10, 12, 120, 74, 61.666666666666664, 27, 22.5, 4630.241666666667
10, 13, 130, 66, 50.76923076923077, 36, 27.692307692307693, 4088.3846153846152
10, 14, 140, 62, 44.285714285714285, 39, 27.857142857142858, 3638.292857142857
10, 15, 150, 73, 48.666666666666664, 31, 20.666666666666668, 3967.9666666666667
10, 16, 160, 57, 35.625, 38, 23.75, 2736.19375
10, 17, 170, 53, 31.176470588235293, 37, 21.764705882352942, 2413.458823529412
10, 18, 180, 64, 35.55555555555556, 40, 22.22222222222222, 3293.0222222222224
10, 19, 190, 60, 31.57894736842105, 34, 17.894736842105264, 2679.184210526316
10, 20, 200, 54, 27, 30, 15, 2142.24
10, 21, 210, 50, 23.80952380952381, 36, 17.142857142857142, 1883.195238095238
10, 22, 220, 63, 28.636363636363637, 29, 13.181818181818182, 2326.1227272727274
10, 23, 230, 43, 18.695652173913043, 29, 12.608695652173912, 1442.595652173913
10, 24, 240, 78, 32.5, 26, 10.833333333333334, 2789.6125
10, 25, 250, 58, 23.2, 37, 14.8, 2274.78
